"","I","percentAgreement","Colony"
"1",1,96.320163833899,"A"
"2",2,96.0497755720354,"A"
"3",4,96.0686346927067,"A"
"4",8,96.4541443945792,"A"
"5",16,96.2026173453178,"A"
"6",32,96.0329808316966,"A"
"7",1,90.9417514640997,"B"
"8",2,90.7132068106133,"B"
"9",4,90.424407830193,"B"
"10",8,90.8156379711502,"B"
"11",16,90.9444577751654,"B"
"12",32,90.7809500374824,"B"
"13",1,94.5135882098527,"C"
"14",2,94.2427175617692,"C"
"15",4,94.2097247631174,"C"
"16",8,94.1405364164189,"C"
"17",16,93.9510482735122,"C"
"18",32,94.1396901125769,"C"
"19",1,95.3376210163383,"D"
"20",2,95.2680334996648,"D"
"21",4,94.8787089052324,"D"
"22",8,94.8417867713736,"D"
"23",16,94.9129518512635,"D"
"24",32,94.9042674694123,"D"
